tenure_months,monthly_charges_inr,avg_login_days_per_month,support_tickets_last_90_days,payment_delay_days,data_usage_gb,satisfaction_score,last_complaint_days_ago,discount_percent,autopay_enabled,referral_count,region_East,region_North,region_South,region_West,plan_type_Enterprise,plan_type_Premium,plan_type_Standard,contract_type_One-year,contract_type_Two-year,payment_method_Debit Card,payment_method_Net Banking,payment_method_UPI,payment_method_Wallet,churn
-0.039636403,-0.3929074,0.90513325,1.4089935,-0.6491395,0.42248753,-0.65315723,0.40469423,1.551331,0.0,1.9892387,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0
0.6737297,0.29610193,1.6448667,0.72042,-0.90905523,1.4802454,-1.3795295,-0.051620618,1.551331,1.0,1.0334483,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0
-0.6816659,0.79211634,1.4599333,0.031846523,3.5095122,0.19694752,1.6580272,-0.83648217,-1.0941576,0.0,0.07765797,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
2.6711547,0.40674654,0.16539977,-0.65672696,0.6504391,1.1717327,1.3938918,-0.81822956,-1.0941576,0.0,2.9450293,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
-0.7530025,-0.1336859,0.5352665,0.031846523,-0.90905523,-0.5187636,-0.19092034,-0.83648217,-1.0941576,0.0,-0.87813246,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0
0.031700205,-0.010741725,-1.1291337,-0.65672696,-0.3892238,-0.10370865,0.9976888,2.0839329,0.88995886,1.0,-0.87813246,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0
-0.96701235,-1.1126916,-0.20446695,0.031846523,0.13060765,-0.9547055,-0.124886505,1.901407,0.22858675,0.0,0.07765797,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.24571005,-0.18595915,-0.3894003,0.031846523,-0.90905523,0.17816848,0.66751957,0.16741051,1.551331,1.0,0.07765797,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0
-0.25364622,1.27118,-0.019533586,0.72042,1.9500177,0.83390164,-2.3040032,-0.5444407,-1.0941576,0.0,0.07765797,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
-1.3236954,-0.9141153,1.8298,1.4089935,0.39052337,-0.5777834,-1.0493603,-0.81822956,-1.0941576,1.0,-0.87813246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0
0.6737297,-1.2170055,-0.3894003,0.72042,-0.6491395,-0.59560436,0.07321502,0.9887773,-1.0941576,0.0,0.07765797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0
0.031700205,-0.49419814,0.90513325,-0.65672696,0.13060765,0.0656859,0.40338424,-0.50793546,-0.4327854,0.0,0.07765797,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0
0.31704664,-1.0256385,-0.9442004,0.72042,2.469849,-1.2473135,-0.7191911,1.2443136,1.551331,1.0,-0.87813246,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0
-0.82433915,-0.30355456,0.16539977,-1.3453004,-0.12930807,0.32341856,0.27131656,-0.7634718,-1.0941576,0.0,-0.87813246,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0
-0.39631945,-0.2301188,-0.3894003,-0.65672696,-0.3892238,0.12163975,-1.181428,-0.48968288,-1.0941576,1.0,1.0334483,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0
-0.46765608,1.0526814,-0.019533586,1.4089935,-0.90905523,1.1569777,-2.832274,-0.39841992,1.551331,1.0,-0.87813246,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
-1.1810222,-0.8978881,-0.57433367,-1.3453004,1.690102,-1.1691314,-0.5871234,-0.16113618,0.22858675,0.0,-0.87813246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
2.2431352,-0.1630137,0.90513325,-0.65672696,0.13060765,-0.64178544,1.724061,-0.6904614,-1.0941576,0.0,1.9892387,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0
0.88773954,0.009568096,-0.57433367,-1.3453004,4.0293436,-0.054653216,-0.2569542,-0.3436621,1.551331,1.0,-0.87813246,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
-0.5389927,3.2184422,1.6448667,0.031846523,-0.3892238,2.2603416,1.4599257,1.0982928,0.88995886,0.0,1.0334483,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
